State,County Name,Population
AK,Aleutians East Borough,3401
AK,Aleutians West Census Area,5680
AK,Anchorage Municipality,287095
AK,Bethel Census Area,18437
AK,Bristol Bay Borough,788
AK,Chugach Census Area,6427
AK,Copper River Census Area,2919
AK,Denali Borough,2081
AK,Dillingham Census Area,4833
AK,Fairbanks North Star Borough,95651
AK,Haines Borough,2614
AK,Hoonah-Angoon Census Area,2141
AK,Juneau City and Borough,31849
AK,Kenai Peninsula Borough,59414
AK,Ketchikan Gateway Borough,13747
AK,Kodiak Island Borough,12992
AK,Kusilvak Census Area,8328
AK,Lake and Peninsula Borough,1493
AK,Matanuska-Susitna Borough,110213
AK,Nome Census Area,9909
AK,North Slope Borough,9294
AK,Northwest Arctic Borough,7644
AK,Petersburg Borough,3296
AK,Prince of Wales-Hyder Census Area,6147
AK,Sitka City and Borough,8405
AK,Skagway Municipality,1179
AK,Southeast Fairbanks Census Area,6957
AK,Wrangell City and Borough,2510
AK,Yakutat City and Borough,637
AK,Yukon-Koyukuk Census Area,5077
AL,Autauga County,56145
AL,Baldwin County,229287
AL,Barbour County,24589
AL,Bibb County,22136
AL,Blount County,57879
AL,Bullock County,9976
AL,Butler County,19504
AL,Calhoun County,113469
AL,Chambers County,32865
AL,Cherokee County,26294
AL,Chilton County,44397
AL,Choctaw County,12418
AL,Clarke County,23291
AL,Clay County,13112
AL,Cleburne County,14967
AL,Coffee County,53230
AL,Colbert County,55411
AL,Conecuh County,11851
AL,Coosa County,10650
AL,Covington County,36930
AL,Crenshaw County,13681
AL,Cullman County,84515
AL,Dale County,48959
AL,Dallas County,36098
AL,DeKalb County,71658
AL,Elmore County,82158
AL,Escambia County,36281
AL,Etowah County,102371
AL,Fayette County,16241
AL,Franklin County,31507
AL,Geneva County,26411
AL,Greene County,7990
AL,Hale County,14670
AL,Henry County,17223
AL,Houston County,106580
AL,Jackson County,51582
AL,Jefferson County,655342
AL,Lamar County,13764
AL,Lauderdale County,93368
AL,Lawrence County,32857
AL,Lee County,166831
AL,Limestone County,102228
AL,Lowndes County,9641
AL,Macon County,17895
AL,Madison County,379453
AL,Marengo County,18733
AL,Marion County,29703
AL,Marshall County,96990
AL,Mobile County,412716
AL,Monroe County,20459
AL,Montgomery County,224639
AL,Morgan County,119883
AL,Perry County,8687
AL,Pickens County,19793
AL,Pike County,32966
AL,Randolph County,22920
AL,Russell County,58237
AL,Shelby County,221428
AL,St. Clair County,90739
AL,Sumter County,12225
AL,Talladega County,79985
AL,Tallapoosa County,40133
AL,Tuscaloosa County,210758
AL,WA County,15976
AL,Walker County,63143
AL,Wilcox County,10206
AL,Winston County,23508
AR,Arizona County,17383
AR,Ashley County,19339
AR,Baxter County,42242
AR,Benton County,288774
AR,Boone County,37625
AR,Bradley County,10639
AR,Calhoun County,5113
AR,Carroll County,28276
AR,Chicot County,9924
AR,Clark County,22103
AR,Clay County,14375
AR,Cleburne County,24935
AR,Cleveland County,7957
AR,Columbia County,23331
AR,Conway County,21037
AR,Craighead County,112245
AR,Crawford County,63409
AR,Crittenden County,47616
AR,Cross County,16142
AR,Dallas County,6802
AR,Desha County,11110
AR,Drew County,17977
AR,Faulkner County,126919
AR,Franklin County,17897
AR,Fulton County,12381
AR,Garland County,99789
AR,Grant County,18449
AR,Greene County,45597
AR,Hempstead County,21253
AR,Hot Spring County,33787
AR,Howard County,13109
AR,Independence County,37757
AR,Izard County,13613
AR,Jackson County,16636
AR,Jefferson County,65377
AR,Johnson County,26513
AR,Lafayette County,6596
AR,Lawrence County,16410
AR,Lee County,8513
AR,Lincoln County,12944
AR,Little River County,12180
AR,Logan County,21410
AR,Lonoke County,73921
AR,Madison County,16644
AR,Marion County,16790
AR,Miller County,43177
AR,Mississippi County,40066
AR,Monroe County,6584
AR,Montgomery County,9006
AR,Nevada County,8099
AR,Newton County,7602
AR,Ouachita County,23167
AR,Perry County,10327
AR,Phillips County,17299
AR,Pike County,10643
AR,Poinsett County,23283
AR,Polk County,19707
AR,Pope County,64334
AR,Prairie County,7966
AR,Pulaski County,392980
AR,Randolph County,18247
AR,Saline County,123968
AR,Scott County,10164
AR,Searcy County,7842
AR,Sebastian County,127590
AR,Sevier County,16702
AR,Sharp County,17424
AR,St. Francis County,24682
AR,Stone County,12674
AR,Union County,38219
